"","text"," ellekingmusic"," taylorswift"," torikelly"," kaceymusgraves"," carrieunderwood"," samhuntmusic"," kanyewest"," sofiavergara"," ladygaga"," meghan_trainor"," adele"," justinbieber"," thegrammys"," kendricklamar"," littlebigtown"," rihanna"," ddlovato"," jkcorden"," andradaymusic"," selenagomez"," brunomars"," beyonce"," mileycyrus"," harry_styles"," samhunt"," theweeknd"," djkhaled"," realalicecooper"," alabama_shakes"," wizkhalifa"," gwenstefani"," muse"," miguel"," angelalessandra"," chrissyteigen"," kaleycuoco"," elliegoulding"," rwitherspoon"," mslaurynhill"," chrisstapleton"," itzsteviewonder"," michaeljackson"," serayahlove"," zendaya"," hamilton"," johnlegend"," pharrel"," samsmith"," arianagrande"," johnnydepp"," llcoolj"," theeagles"," davegrohl"," mattbellamy"," nicklachey"," pharrell"," faithevans"," annakendrick"," janellemonae"," kimkardashian"," ciara"," annawintour"
"41","I hope @BrunoMars is getting a royalty check for his dance moves! #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","<ed><U+00A0><U+00BD><ed><U+00B8><U+00B9> <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> RT @KanyeWest Taylor, Imma let you finish - but @Beyonce had the best sparkly jumpsuit of all time! #Grammys https://t.co/hBCXWFF7ag",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Can @JKCorden host the #Grammys next year, PLEASE???????",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","All you haters who say #TaylorSwift can't sing on live TV can SUCK MY DICK!!!!! #GRAMMYs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","VOCALS!!!!!!! @taylorswift13 #Grammys",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",".@taylorswift13 knows how to SELL IT!!!!!!!! #Grammys",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Where's @Beyonce?????? #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","I'm not sure what I feel about #Pharrel's blond hair. I like it. And I sorta don't. #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Why is #SamSmith's beard a very different color than his hair??? #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","#ArianaGrande switched things up! She wore her ponytail a tenth of an inch further back tonight!!! #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
